"WT1","WT2","WT3","NEG1","NEG2","NEG3","pos","Potential.contaminant","Reverse","ids"
6449300,0,0,0,0,8424400,FALSE,"","","P2049587"
0,1339600,0,0,0,0,FALSE,"","","P1623479"
64112000,120360000,60267000,1513700,0,0,TRUE,"","","P3615987"
0,4270000,1832300,0,0,1301200,FALSE,"","","P7251043"
0,0,0,1437100,0,0,FALSE,"","","P3608179"
47867000,22882000,6548200,36135000,15010000,27107000,FALSE,"","","P3801569"
2686300,0,5869400,968640,2730400,1499600,FALSE,"","","P1495062"
7768900,7657100,4061900,8841200,2730100,0,FALSE,"","","P2136807"
0,0,0,0,0,3277700,FALSE,"","","P1037265"
3423900,13806000,9301200,2089400,11626000,2815500,FALSE,"","","P3540291"
36590000,35852000,28290000,75650000,25553000,33626000,FALSE,"","","P5601329"
4959400,0,471420,1497800,0,0,FALSE,"","","P7324806"
4044700,32565000,11271000,27373000,11956000,11919000,FALSE,"","","P6271304"
0,2902200,3435600,0,2598800,3015600,FALSE,"","","P8264715"
50031000,4688300,7255100,33553000,6752200,12028000,FALSE,"","","P4973615"
1634200,2052200,6816400,2792500,2412800,2376700,FALSE,"","","P2158964"
231180000,499720000,234990000,421070000,206450000,379580000,FALSE,"","","P4763258"
0,4603700,2073500,6760400,1302300,0,FALSE,"","","P2149085"
1631100,0,0,2209700,0,0,FALSE,"","","P7834596"
3110300,2621900,3466500,2269500,516450,1735200,FALSE,"","","P2395617"
4222300,0,0,14604000,4082600,128990000,FALSE,"","","P0967845"
0,891600,0,0,0,0,FALSE,"","","P7124395"
0,2205400,3296400,3142400,1091800,2770100,FALSE,"","","P4021956"
18058000,21263000,17600000,28949000,17050000,12425000,FALSE,"","","P6195478"
3492000,11214000,18015000,16953000,10320000,12428000,FALSE,"","","P5076918"
141890000,69514000,78020000,144540000,86290000,96421000,FALSE,"","","P9751043"
13172000,4367900,2388300,3190700,3889500,1254600,FALSE,"","","P8962501"
0,6590400,3304600,7285500,4455200,1793200,FALSE,"","","P1309684"
1429600,2475800,716510,2562600,1180400,1023500,FALSE,"","","P9873265"
0,0,0,0,828660,0,FALSE,"","","P2745831"
3348900,847360,1678600,3459000,0,2950500,FALSE,"","","P2143567"
253140000,331490000,378230000,39830000,37966000,18064000,TRUE,"","","P5748210"
43738000,85393000,19599000,112940000,53733000,117080000,FALSE,"","","P7850964"
0,0,0,0,589980,0,FALSE,"","","P5674021"
0,1975300,0,2026500,648370,0,FALSE,"","","P4380952"
1640100,0,0,2044400,0,892110,FALSE,"","","P3046215"
61183000,43468000,36969000,173940000,32516000,39339000,FALSE,"","","P5701829"
3267800,1901800,333520,4529500,2576400,0,FALSE,"","","P6308945"
0,0,980170,0,0,0,FALSE,"","","P4307128"
77309000,132280000,162370000,155430000,122280000,95699000,FALSE,"","","P3196278"
0,0,0,184570000,46130000,80618000,FALSE,"","","P0637192"
0,0,0,0,769920,0,FALSE,"","","P0438527"
0,2190800,0,0,864300,0,FALSE,"","","P1832759"
14600000,9796600,7244800,16134000,6285000,2246400,FALSE,"","","P9087324"
0,689570,0,1008100,0,0,FALSE,"","","P5347629"
2998200,21462000,11173000,13497000,10138000,11111000,FALSE,"","","P9203615"
1984100000,1871400000,2227700000,40943000,40693000,33827000,TRUE,"","","P6582309"
0,0,436670,0,671070,0,FALSE,"","","P1937086"
3770600,939310,4553800,3255800,1296600,3463500,FALSE,"","","P2746910"
789080,0,0,0,0,0,FALSE,"","","P9821460"
0,1274600,0,0,1801500,0,FALSE,"","","P7019483"
0,0,503820,0,0,0,FALSE,"","","P4926710"
953350,0,0,0,0,0,FALSE,"","","P9430268"
1477400,941750,0,0,0,0,FALSE,"","","P1083569"
0,0,0,0,0,5564000,FALSE,"","","P6941082"
2313000,0,0,0,0,0,FALSE,"","","P3815674"
0,0,1913200,2921700,1438400,0,FALSE,"","","P7245069"
8971400,7304300,11608000,0,0,0,FALSE,"","","P0286359"
0,0,1548400,2901500,455300,0,FALSE,"","","P8362947"
0,0,0,1030400,0,0,FALSE,"","","P7321860"
0,378710,0,1366500,0,0,FALSE,"","","P3857069"
3980200,347320,0,3829300,0,0,FALSE,"","","P4356021"
3151600,1233400,1034200,0,0,909200,FALSE,"","","P2576348"
2160600,4394700,0,9497500,0,19614000,FALSE,"","","P4718956"
0,0,0,0,0,6631900,FALSE,"","","P8395024"
352780000,172180000,75229000,272770000,175200000,158100000,FALSE,"","","P3572684"
13613000,7250400,6600700,14978000,7598600,5170800,FALSE,"","","P9316784"
13640000,1838100,1077900,13970000,1957400,3393000,FALSE,"","","P4215970"
2249200,1108500,1178700,0,0,859860,FALSE,"","","P0793462"
7550500,0,0,0,0,1245600,FALSE,"","","P6081397"
3014900,8900200,7066200,7117800,4527300,17815000,FALSE,"","","P3287601"
11181000,15467000,12706000,21051000,7713000,9019700,FALSE,"","","P7152486"
8776200,4266000,2471600,8050100,3634300,0,FALSE,"","","P3928754"
2059300,655040,703080,2941900,1008300,671180,FALSE,"","","P5406312"
4520500,0,0,4409200,0,0,FALSE,"","","P1804926"
5179800,2933900,4577400,6014100,1712600,2254800,FALSE,"","","P0126753"
13731000,1281800,832750,0,0,1608700,FALSE,"","","P7054893"
7461600,0,837360,13279000,0,1503400,FALSE,"","","P9071528"
